nycmesh-7489-north, LAP-120, LiteAP AC
nycmesh-5014-north, LAP-120, LiteAP AC
nycmesh-2463-south, LAP-120, LiteAP AC
nycmesh-5916-south1, RP-5AC-Gen2, Rocket Prism 5AC Gen2
nycmesh-713-af60xr-5916, AF60-XR, airFiber 60 XR
nycmesh-sn3-west, LAP-120, LiteAP AC
nycmesh-1933-lbe-7512, LBE-5AC-Gen2, LiteBeam 5AC
nycmesh-2463-northeast, LAP-120, LiteAP AC
nycmesh-6129-east, LAP-120, LiteAP AC
nycmesh-731-north, LAP-120, LiteAP AC
nycmesh-7800-north, LAP-GPS, LiteAP GPS
nycmesh-3461-north, LAP-120, LiteAP AC
nycmesh-5916-west2, PS-5AC, PrismStation 5AC
nycmesh-sn3-north, LAP-120, LiteAP AC
nycmesh-supernode1-a3, PS-5AC, PrismStation 5AC
nycmesh-1340-west, LAP-120, LiteAP AC
nycmesh-2701-southeast, LAP-120, LiteAP AC
nycmesh-5712-south, LAP-120, LiteAP AC
nycmesh-664-south, LAP-120, LiteAP AC
nycmesh-6129-north, LAP-120, LiteAP AC
nycmesh-3461-southeast, LAP-120, LiteAP AC
nycmesh-2463-gbep-507, GBE-Plus, GigaBeam Plus
nycmesh-3461-af60lr-5283, AF60-LR, airFiber 60 LR
nycmesh-1340-lbe-664, LBE-5AC-Gen2, LiteBeam 5AC
nycmesh-6129-west, LAP-120, LiteAP AC
nycmesh-1417-gbelr-3606, GBE-LR, GigaBeam LR
nycmesh-731-gbelr-1932, GBE-LR, GigaBeam LR
nycmesh-5965-east, LAP-120, LiteAP AC
nycmesh-664-west, LAP-120, LiteAP AC
nycmesh-383-lbe-329, LBE-5AC-Gen2, LiteBeam 5AC
nycmesh-713-af24-231, AF24, airFiber 24
nycmesh-7800-west, LAP-GPS, LiteAP GPS
nycmesh-2463-northwest, LAP-120, LiteAP AC
nycmesh-1084-gbep-115, GBE-Plus, GigaBeam Plus
nycmesh-1934-nbe-meshroom, NBE-5AC-16, NanoBeam 5AC 16
nycmesh-3461-af60lr-5916, AF60-LR, airFiber 60 LR
nycmesh-5916-northeast, PS-5AC, PrismStation 5AC
nycmesh-2463-lbe-2090, LBE-5AC-Gen2, LiteBeam 5AC
nycmesh-1932-lbelr-2090, LBE-5AC-LR, LiteBeam 5AC Long-Range
nycmesh-898-east, LAP-GPS, LiteAP GPS
nycmesh-295-gbep-449, GBE-Plus, GigaBeam Plus
nycmesh-231-east, LAP-120, LiteAP AC
nycmesh-231-AF60HD-333, AF60HD, airFiber 60 HD
nycmesh-368-west, LAP-120, LiteAP AC
nycmesh-7512-af60lr-1933, AF60-LR, airFiber 60 LR
nycmesh-1417-east, LAP-120, LiteAP AC
nycmesh-1932-west-s6, PS-5AC, PrismStation 5AC
